Обращение,Вр__создания_обращения,Вр__создания_обращения_с_учетом_ЗО_инициатора,ВРЕМЯ_ЗАКРЫТИЯ,IP_адрес,РПА,Доля,ТЗ,Порядок,Объект,Наряд,Направление_РГ,Рабочая_группа,Исполнитель,Полигон_инициатора,ФИО,Подразделение_инициатора,Способ_обращения,Причина_обращения,АСОЗ,ВП,ОСК,Услуга,ЭК_запроса_наряда,Направление_проблем,ЭК_робота,Код_мероприятия_РРО,Шаблон_запроса,ВОЗВРАЩЕНО,ВОЗВРАЩЕНО_ОШИБОЧНО,КРАТКОЕ_ОПИСАНИЕ,ПОДРОБНОЕ_ОПИСАНИЕ,РЕШЕНИЕ
ОБР25-06269490,01.06.2025 2:40:09,01.06.2025 2:40:09,,,RPA,"1,00",11.0,1,ЗАП25-05254768,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Восточно-Сибирская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУ-ОПБ,направление цтс пик (холдинг),РПА-РОБИН-ЕК-АСУ-ОПБ-АСОЗ-0006-ОБЩЕЕ,ЦТС-ОКС-0026,ЦТС-ХОЛДИНГ-ЕК-АСУ-ОПБ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269491,01.06.2025 2:40:12,01.06.2025 2:40:12,,,RPA,"1,00",11.0,1,ЗАП25-05254771,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Юго-Восточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ИСУЖТ-НС-ТРА,направление цтс пик (бд),РПА-РОБИН-ИСУЖТ-НС-ТРА-АСОЗ-0001-ОБЩЕЕ,ЦТС-БД-0018,ЦТС-БД-АСОЗ-ИСУЖТ-НС-ТРА-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269492,01.06.2025 2:40:14,01.06.2025 2:40:14,,,RPA,"1,00",11.0,1,ЗАП25-05254727,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ИСУЖТ-НС-ТРА,направление цтс пик (бд),РПА-РОБИН-ИСУЖТ-НС-ТРА-АСОЗ-0001-ОБЩЕЕ,ЦТС-БД-0018,ЦТС-БД-АСОЗ-ИСУЖТ-НС-ТРА-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269493,01.06.2025 2:40:17,01.06.2025 2:40:17,,,RPA,"1,00",11.0,1,ЗАП25-05254767,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Юго-Восточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУ-ОПБ,направление цтс пик (холдинг),РПА-РОБИН-ЕК-АСУ-ОПБ-АСОЗ-0006-ОБЩЕЕ,ЦТС-ОКС-0026,ЦТС-ХОЛДИНГ-ЕК-АСУ-ОПБ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269495,01.06.2025 2:40:21,01.06.2025 2:40:21,,,RPA,"1,00",11.0,1,ЗАП25-05254770,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Восточно-Сибирская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-КМО,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-КМО-АСОЗ-0002-ОБЩЕЕ,ЦТС-ИНФР-0248,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ-КМО-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269498,01.06.2025 2:40:27,01.06.2025 2:40:27,,,RPA,"1,00",11.0,1,ЗАП25-05254790,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,СДО-ИОС-ОТ,направление цтс пик (сцо),РПА-РОБИН-ИОСОТ-АСОЗ-0001-ОБЩЕЕ,ЦТС-ПИК-0040,ЦТС-ПИК-СДО-ИОС-ОТ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269499,01.06.2025 2:40:29,01.06.2025 2:40:29,,,RPA,"1,00",11.0,1,ЗАП25-05254777,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Восточно-Сибирская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АСУТ-НБД-ЗМ,направление цтс пик (бд),РПА-РОБИН-ЗМ-НБД-2-АСОЗ-0001-ОБЩЕЕ,ЦТС-БД-0035,ЦТС-БД-АСОЗ-АСУТ-НБД-ЗМ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269504,01.06.2025 2:40:43,01.06.2025 2:40:43,,,RPA,"1,00",11.0,1,ЗАП25-05254749,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КН,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КН-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269514,01.06.2025 2:41:06,01.06.2025 2:41:06,,,RPA,"1,00",11.0,1,ЗАП25-05254801,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Восточно-Сибирская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АИС-ЭНЕРГОЭФФЕКТИВНОСТЬ,направление цтс пик (холдинг),РПА-РОБИН-АИС-ЭНЕРГОЭФФЕКТИВНОСТЬ-АСОЗ-0003-ОБЩЕЕ,ЦТС-ХОЛД-0005,ЦТС-ХОЛДИНГ-АСОЗ-АИС-ЭНЕРГО-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269525,01.06.2025 2:41:32,01.06.2025 2:41:32,,,RPA,"1,00",11.0,1,ЗАП25-05254798,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-МРМ-П,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-МРМ-П-АСОЗ-0002-ОБЩЕЕ,ЦТС-ИНФР-0291,ЦТС-ИНФР-АСОЗ-МРМ-ЕКАСУИ-П-(Н)-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269532,01.06.2025 2:41:52,01.06.2025 2:41:52,,,RPA,"1,00",11.0,1,ЗАП25-05254811,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269534,01.06.2025 2:41:57,01.06.2025 2:41:57,,,RPA,"1,00",11.0,1,ЗАП25-05254802,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,СДО-ИОС-ОТ,направление цтс пик (сцо),РПА-РОБИН-ИОСОТ-АСОЗ-0001-ОБЩЕЕ,ЦТС-ПИК-0040,ЦТС-ПИК-СДО-ИОС-ОТ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269535,01.06.2025 2:41:59,01.06.2025 2:41:59,,,RPA,"1,00",11.0,1,ЗАП25-05254814,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ИСУЖТ-НС-ТРА,направление цтс пик (бд),РПА-РОБИН-ИСУЖТ-НС-ТРА-АСОЗ-0001-ОБЩЕЕ,ЦТС-БД-0018,ЦТС-БД-АСОЗ-ИСУЖТ-НС-ТРА-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269541,01.06.2025 2:42:12,01.06.2025 2:42:12,,,RPA,"1,00",10.0,1,ЗАП25-05254753,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-НЦБ,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-НЦБ-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0010,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ НЦБ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269552,01.06.2025 2:42:14,01.06.2025 2:42:14,,,RPA,"1,00",11.0,1,ЗАП25-05254782,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-ДУ-46,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-ДУ-46-АСОЗ-0002-ОБЩЕЕ,ЦТС-ИНФР-0440,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ-ДУ-46-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269553,01.06.2025 2:42:16,01.06.2025 2:42:16,,,RPA,"1,00",11.0,1,ЗАП25-05254828,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Восточно-Сибирская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269561,01.06.2025 2:42:34,01.06.2025 2:42:34,,,RPA,"1,00",11.0,1,ЗАП25-05254838,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,СДО-ИОС-ОТ,направление цтс пик (сцо),РПА-РОБИН-ИОСОТ-АСОЗ-0001-ОБЩЕЕ,ЦТС-ПИК-0040,ЦТС-ПИК-СДО-ИОС-ОТ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269583,01.06.2025 2:43:23,01.06.2025 2:43:23,,,RPA,"1,00",11.0,1,ЗАП25-05254855,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АСУТ-НБД,направление цтс пик (бд),РПА-РОБИН-АСУТ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0237,ЦТС-БД-АСОЗ-АСУТ-НБД-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269585,01.06.2025 2:43:27,01.06.2025 2:43:27,,,RPA,"1,00",11.0,1,ЗАП25-05254856,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,НАВИГАТОР-БЕЗОПАСНОСТИ-ОАО-РЖД,направление цтс пик (холдинг),РПА-РОБИН-НАВИГАТОР-БЕЗОПАСНОСТИ-АСОЗ-0003-ОБЩЕЕ,ЦТС-ПИК-0027,ЦТС-ХОЛДИНГ-АСОЗ-НАВИГАТОР-БЕЗОПАСНОСТИ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269586,01.06.2025 2:43:29,01.06.2025 2:43:29,,,RPA,"1,00",11.0,1,ЗАП25-05254861,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Приволжская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269588,01.06.2025 2:43:34,01.06.2025 2:43:34,,,RPA,"1,00",11.0,1,ЗАП25-05254860,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Приволжская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269590,01.06.2025 2:43:39,01.06.2025 2:43:39,,,RPA,"1,00",11.0,1,ЗАП25-05254813,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Приволжская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269591,01.06.2025 2:43:42,01.06.2025 2:43:42,,,RPA,"1,00",11.0,1,ЗАП25-05254859,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Восточно-Сибирская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АСУВОП-3,направление цтс пик (рем),РПА-РОБИН-ГВЦ-АСУВОП-3-АСОЗ-0380-ОБЩЕЕ,ЦТС-ПИК-0011,ЦТС-ИНФР-АСОЗ-АСУВОП-3-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269593,01.06.2025 2:43:47,01.06.2025 2:43:47,,,RPA,"1,00",11.0,1,ЗАП25-05254846,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АБД-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),РПА-РОБИН-АБД-АСУ-ЭКСПРЕСС-АСОЗ-0003-ОБЩЕЕ,ЦТС-ПАСС-0001,ЦТС-ПАСС-АСОЗ-АБД-АСУ-ЭКСПРЕСС-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269598,01.06.2025 2:43:58,01.06.2025 2:43:58,,,RPA,"1,00",11.0,1,ЗАП25-05254851,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Юго-Восточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУ-ОПБ,направление цтс пик (холдинг),РПА-РОБИН-ЕК-АСУ-ОПБ-АСОЗ-0006-ОБЩЕЕ,ЦТС-ОКС-0026,ЦТС-ХОЛДИНГ-ЕК-АСУ-ОПБ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269602,01.06.2025 2:44:05,01.06.2025 2:44:05,,,RPA,"1,00",11.0,1,ЗАП25-05254865,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АСУ-Ш-2,направление цтс пик (инфр),РПА-РОБИН-АСУ-Ш-2-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0001,ЦТС-ИНФР-АСОЗ-АСУ-Ш-2-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269622,01.06.2025 2:44:50,01.06.2025 2:44:50,,,RPA,"1,00",11.0,1,ЗАП25-05254882,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АСУТ-НБД-ЗМ,направление цтс пик (бд),РПА-РОБИН-ЗМ-НБД-2-АСОЗ-0001-ОБЩЕЕ,ЦТС-БД-0035,ЦТС-БД-АСОЗ-АСУТ-НБД-ЗМ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269624,01.06.2025 2:44:54,01.06.2025 2:44:54,,,RPA,"1,00",11.0,1,ЗАП25-05254891,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269625,01.06.2025 2:44:57,01.06.2025 2:44:57,,,RPA,"1,00",11.0,1,ЗАП25-05254897,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,СДО-ИОС-ОТ,направление цтс пик (сцо),РПА-РОБИН-ИОСОТ-АСОЗ-0001-ОБЩЕЕ,ЦТС-ПИК-0040,ЦТС-ПИК-СДО-ИОС-ОТ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269627,01.06.2025 2:45:01,01.06.2025 2:45:01,,,RPA,"1,00",11.0,1,ЗАП25-05254893,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Юго-Восточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,СПМ,направление цтс пик (холдинг),РПА-РОБИН-СПМ-АСОЗ-0001-ОБЩЕЕ,ЦТС-ХОЛД-0007,ЦТС-ХОЛДИНГ-АСОЗ-СПМ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269631,01.06.2025 2:45:06,01.06.2025 9:45:06,,,сотрудник,"1,00",29.0,1,ЗАП25-05254883,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-СИБИРЬ,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,СЛУЖБА-Л-ДВС,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-НСИ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-9999,СИБИРЬ-ЦТС-ПИК-ВВОД-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269632,01.06.2025 2:45:07,01.06.2025 2:45:07,,,RPA,"1,00",11.0,1,ЗАП25-05254870,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Юго-Восточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЭС-НТД,направление цтс пик (холдинг ио),РПА-РОБИН-ЭСНТД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ХОЛД-0002,ЦТС-ХОЛДИНГ-АСОЗ-ЭС-НТД-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269635,01.06.2025 2:45:16,01.06.2025 2:45:16,,,RPA,"1,00",11.0,1,ЗАП25-05254896,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-П,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-П-АСОЗ-0002-ОБЩЕЕ,ЦТС-ИНФР-0222,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ-П-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269636,01.06.2025 2:45:18,01.06.2025 2:45:18,,,RPA,"1,00",10.0,1,ЗАП25-05254888,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-ФА,направление цтс пик (инфр),РПА-РОБИН-АСИЗ-ЕКАСУИ-ФА-АСОЗ-0001-ОБЩЕЕ,ЦТС-ИНФР-0105,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ-ФА-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269637,01.06.2025 2:45:20,01.06.2025 2:45:20,,,RPA,"1,00",11.0,1,ЗАП25-05254880,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Приволжская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-ДУ-46,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-ДУ-46-АСОЗ-0002-ОБЩЕЕ,ЦТС-ИНФР-0440,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ-ДУ-46-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269641,01.06.2025 2:45:31,01.06.2025 2:45:31,,,RPA,"1,00",10.0,1,ЗАП25-05254911,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,ЕК-АСУИ-НЦБ,направление цтс пик (инфр),РПА-РОБИН-ЕКАСУИ-НЦБ-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0010,ЦТС-ИНФР-АСОЗ-ЕК-АСУИ НЦБ-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06269644,01.06.2025 2:45:38,01.06.2025 2:45:38,,,RPA,"1,00",11.0,1,ЗАП25-05254900,дочерний объект,Направление ЦТС ПИК,ПИК-АДМИН,Чашкин Леонид Борисович,Московская ЖД,Иванов Иван Иванович,ГВЦОАОРЖД,АС ОЗ,Ведение учетных записей,да,,,00.04 БЛОКИРОВКА ДОСТУПА К ИР ОАО РЖД,АС-РБ-КР,направление цтс пик (бд),РПА-РОБИН-АС-РБ-НБД-АСОЗ-0003-ОБЩЕЕ,ЦТС-ИНФР-0403,ЦТС-БД-АСОЗ-АС-РБ-КР-БЛОКИРОВКА,0,0,Краткое описание запроса,Подробное описание запроса,Решение
